"","ENTREZID","SYMBOL"
"908","96893","D530037H12Rik"
"909","68026","Pclaf"
"910","72325","Vps9d1"
"911","70122","Mllt3"
"912","234371","Tmem161a"
"913","74100","Arpp21"
"914","102636700","Gm19531"
"915","81913","Bambi-ps1"
"916","68444","Cyp2d13"
"917","71799","Ptcd1"
"918","19157","Cyth1"
"919","236546","Tcstv2a"
"920","106931","Kctd1"
"921","74356","Matcap1"
"922","72349","Dusp3"
"923","74629","4930426L09Rik"
"924","72080","Sapcd2"
"925","16509","Kcne1"
"926","11551","Adra2a"
"927","66825","Rnf186"
"928","65962","Nherf2"
"929","56248","Ak3"
"930","20969","Sdc1"
"931","223455","Marchf6"
"932","217342","Ube2o"
"933","18106","Cd244a"
"934","53872","Caprin1"
"935","244349","Kat6a"
"936","66957","Serpinb11"
"937","223601","Cyrib"
"938","94178","Mcoln1"
"939","225358","Fam13b"
"940","26381","Esrrg"
"941","70290","2310079F09Rik"
"942","227634","Camsap1"
"943","68107","Cntd1"
"944","68837","Foxk2"
"945","240041","Zfp945"
"946","66978","Luc7l"
"947","13209","Ddx6"
"948","229780","Trmt13"
"949","19877","Rock1"
"950","237073","Rbm41"
"951","23964","Tenm2"
"952","14348","Fut9"
"953","80292","Zxdc"
"954","223435","Trio"
"955","80891","Fcrl2"
"956","74062","Speer8-ps1"
"957","21343","Taf6"
"958","67263","Zswim6"
"959","56278","Gkap1"
"960","75610","2010109A12Rik"
"961","213673","9530068E07Rik"
"962","331535","Serpina7"
"963","66753","Erlec1"
"964","52524","D14Ertd725e"
"965","19111","Prl6a1"
"966","53334","Gosr1"
"967","22270","Upk3a"
"968","67180","Yipf5"
"969","242642","Hpdl"
"970","19878","Rock2"
"971","381598","2610005L07Rik"
"972","320606","3632454L22Rik"
"973","67828","Lce1f"
"974","66964","Golt1b"
"975","12368","Casp6"
"976","17536","Meis2"
"977","56736","Rnf14"
"978","54216","Pcdh7"
"979","12648","Chd1"
"980","67921","Ube2f"
"981","30934","Tor1b"
"982","18213","Ntrk3"
"983","319734","Cacna2d4"
"984","26557","Homer2"
"985","30931","Tor1a"
"986","75734","Mff"
"987","55990","Fmo2"
"988","75818","4930478L05Rik"
"989","114641","Rpl31"
"990","97880","C80143"
"991","242384","Lingo2"
